date,month,day_of_week,sku,sku_id,supplier,supplier_id,warehouse,warehouse_id,route,transport_mode,distance_km,transit_time_days,transit_delay_prob,is_perishable,shelf_life_days,unit_cost,shipping_cost,storage_cost_per_day,holding_cost_per_unit_per_day,base_daily_demand,observed_daily_demand,seasonal_multiplier,promotion,inventory_on_hand,lead_time_days,safety_stock,reorder_point,stockout_risk,supplier_order_cost,supplier_min_order_qty,eoq_monthly,recommended_order_qty,product_name
2024-10-01,10,1,SKU-039,39,Supplier-05,5,Warehouse-1,1,Route-15,Truck,1493,19,0.216,0,53,16.22,290.01,0.2722,0.01,11,20,1.0,1,12,5,13,68,0.657,52.16,10,339,158,FreshBake Rusk
2024-05-30,5,3,SKU-008,8,Supplier-07,7,Warehouse-1,1,Route-18,Truck,1855,23,0.304,1,232,156.4,99.56,0.7556,0.0521,6,4,1.0,0,20,5,2,32,0.356,36.79,20,92,40,SelectGrain Barley
2024-10-22,10,1,SKU-054,54,Supplier-11,11,Warehouse-5,5,Route-12,Truck,2043,26,0.504,1,4,20.86,226.77,0.3172,0.01,7,8,1.0,0,12,21,10,157,0.99,107.32,5,388,261,VegVille Carrots
2024-12-04,12,2,SKU-013,13,Supplier-12,12,Warehouse-1,1,Route-02,Truck,301,4,0.168,0,160,151.42,47.19,2.4358,0.0505,15,12,1.555,0,18,21,31,346,0.99,100.36,1,244,244,FarmSelect Moong Dal
2024-02-21,2,2,SKU-015,15,Supplier-05,5,Warehouse-1,1,Route-08,Truck,93,1,0.198,0,61,25.11,4.97,0.4169,0.01,18,15,1.0,0,16,5,21,111,0.67,52.16,10,433,225,HealthyBite Masoor Dal
2024-03-24,3,6,SKU-025,25,Supplier-05,5,Warehouse-4,4,Route-12,Air,580,1,0.233,0,358,67.27,41.25,0.7609,0.0224,3,3,1.0,0,10,5,2,17,0.387,52.16,10,118,42,LiteChoice Olive Oil
2024-12-25,12,2,SKU-024,24,Supplier-06,6,Warehouse-2,2,Route-09,Truck,1532,19,0.244,1,224,22.8,73.84,0.3292,0.01,7,9,1.232,1,9,5,6,41,0.618,78.57,5,332,132,FarmPure Groundnut Oil
2024-11-07,11,3,SKU-060,60,Supplier-11,11,Warehouse-6,6,Route-03,Truck,2462,31,0.451,0,126,189.71,414.52,1.3979,0.0632,16,26,1.423,0,26,21,11,347,0.99,107.32,5,233,233,PureFarm French Beans
2024-03-24,3,6,SKU-041,41,Supplier-03,3,Warehouse-5,5,Route-08,Truck,1846,23,0.015,0,8,91.1,207.07,0.3964,0.0304,20,26,1.0,0,28,10,18,218,0.851,142.82,10,433,320,MilkyWay Butter
2024-04-22,4,0,SKU-030,30,Supplier-07,7,Warehouse-3,3,Route-18,Truck,42,1,0.068,1,349,92.45,6.11,0.8208,0.0308,15,15,1.0,1,16,5,16,91,0.636,36.79,20,189,132,DailyPress Sesame Oil
2024-01-17,1,2,SKU-044,44,Supplier-06,6,Warehouse-1,1,Route-08,Sea,520,17,0.298,1,43,27.83,84.38,0.0626,0.01,15,11,1.0,0,21,5,21,96,0.659,78.57,5,485,221,DailyPure Curd
2024-02-03,2,5,SKU-052,52,Supplier-06,6,Warehouse-4,4,Route-09,Truck,396,5,0.229,0,8,165.26,62.09,1.0154,0.0551,15,12,1.0,0,17,5,14,89,0.638,78.57,5,207,134,FarmFresh Tomatoes
2024-04-18,4,3,SKU-014,14,Supplier-10,10,Warehouse-6,6,Route-11,Truck,585,7,0.119,0,97,152.14,29.78,0.8406,0.0507,19,22,1.0,0,22,10,13,203,0.862,49.72,20,193,193,DailyFresh Urad Dal
2024-03-14,3,3,SKU-042,42,Supplier-08,8,Warehouse-4,4,Route-15,Truck,739,9,0.022,0,12,178.1,58.19,1.3348,0.0594,10,12,1.0,0,14,2,3,23,0.165,144.03,5,220,75,FreshDairy Paneer
2024-10-02,10,2,SKU-017,17,Supplier-03,3,Warehouse-2,2,Route-18,Truck,743,9,0.064,0,49,103.52,139.67,1.0622,0.0345,19,24,1.0,0,18,10,21,211,0.874,142.82,10,397,312,ProteinRich Kabuli Chana
2024-10-25,10,4,SKU-017,17,Supplier-12,12,Warehouse-5,5,Route-14,Air,356,1,0.059,0,171,103.52,19.84,1.9018,0.0345,19,22,1.0,0,20,21,21,420,0.99,100.36,1,332,332,ProteinRich Kabuli Chana
2024-09-17,9,1,SKU-026,26,Supplier-06,6,Warehouse-2,2,Route-05,Truck,350,4,0.248,1,183,190.26,27.56,2.5943,0.0634,13,22,1.0,0,21,5,3,68,0.537,78.57,5,180,101,TastyDrop Coconut Oil
2024-03-19,3,1,SKU-032,32,Supplier-02,2,Warehouse-1,1,Route-04,Sea,424,14,0.232,0,105,69.09,33.97,0.5801,0.023,11,15,1.0,0,14,21,6,237,0.99,119.97,1,339,325,SnackoLite Potato Chips
2024-11-01,11,4,SKU-041,41,Supplier-03,3,Warehouse-6,6,Route-14,Truck,663,8,0.508,0,13,91.1,109.82,0.6696,0.0304,20,23,1.474,0,23,10,7,207,0.891,142.82,10,433,314,MilkyWay Butter
2024-08-27,8,1,SKU-005,5,Supplier-07,7,Warehouse-4,4,Route-20,Truck,1092,14,0.307,0,357,198.15,147.76,1.2227,0.066,17,13,1.0,0,22,5,19,104,0.647,36.79,20,138,123,GrainLand Idli Rice
2024-12-14,12,5,SKU-034,34,Supplier-05,5,Warehouse-5,5,Route-01,Truck,2018,25,0.12,0,140,151.71,128.3,1.5625,0.0506,12,16,1.191,1,16,5,14,74,0.629,52.16,10,157,105,SaltZest Crackers
2024-05-16,5,3,SKU-047,47,Supplier-02,2,Warehouse-6,6,Route-18,Sea,2289,76,0.346,0,8,125.55,407.24,1.2568,0.0419,13,22,1.0,1,24,21,25,298,0.99,119.97,1,273,273,NutriDairy Toned Milk
2024-05-30,5,3,SKU-050,50,Supplier-11,11,Warehouse-3,3,Route-04,Air,856,2,0.251,0,9,141.69,73.32,2.2704,0.0472,17,9,1.0,0,12,21,38,395,0.99,107.32,5,278,278,DesiMilk Ghee
2024-05-14,5,1,SKU-028,28,Supplier-03,3,Warehouse-4,4,Route-01,Rail,2176,18,0.262,1,149,116.82,349.85,0.8953,0.0389,14,12,1.0,0,18,10,5,145,0.861,142.82,10,321,223,PureGold Buffalo Ghee
2024-11-16,11,5,SKU-033,33,Supplier-03,3,Warehouse-5,5,Route-04,Truck,285,4,0.454,1,3,136.14,13.42,0.245,0.0454,9,11,1.366,0,14,10,7,97,0.884,142.82,10,238,154,ChocoMelt Cookies
2024-04-11,4,3,SKU-020,20,Supplier-11,11,Warehouse-5,5,Route-20,Sea,2375,79,0.417,0,143,179.63,127.89,2.2732,0.0599,19,12,1.0,0,18,21,19,418,0.99,107.32,5,261,261,SelectPulse Moth Beans
2024-09-28,9,5,SKU-010,10,Supplier-06,6,Warehouse-2,2,Route-18,Sea,449,15,0.304,0,322,186.5,96.63,0.3915,0.0622,9,10,1.0,0,16,5,5,50,0.557,78.57,5,151,79,HomeChoice Broken Rice
2024-09-07,9,5,SKU-059,59,Supplier-01,1,Warehouse-5,5,Route-11,Air,393,1,0.099,0,68,163.5,57.07,2.0055,0.0545,6,8,1.0,1,12,5,7,37,0.569,92.21,1,142,68,DailyVeg Cabbage
2024-05-02,5,3,SKU-002,2,Supplier-02,2,Warehouse-3,3,Route-10,Truck,1381,17,0.244,0,327,39.6,152.86,0.5839,0.0132,11,9,1.0,0,20,21,24,255,0.99,119.97,1,447,369,GoldenField Brown Rice
2024-02-13,2,1,SKU-004,4,Supplier-04,4,Warehouse-5,5,Route-03,Truck,1242,16,0.545,0,240,162.33,159.43,2.2535,0.0541,9,5,1.0,0,17,10,17,107,0.916,130.45,5,208,152,RoyalKitchen Sona Masoori Rice
2024-03-05,3,1,SKU-047,47,Supplier-08,8,Warehouse-1,1,Route-18,Truck,1884,24,0.347,0,14,125.55,321.35,0.509,0.0419,13,16,1.0,0,19,2,9,35,0.251,144.03,5,299,106,NutriDairy Toned Milk
2024-03-25,3,0,SKU-009,9,Supplier-11,11,Warehouse-4,4,Route-18,Air,1354,3,0.136,0,202,71.46,113.97,1.379,0.0238,23,16,1.0,0,23,21,48,531,0.99,107.32,5,455,455,NutriRice Premium Rice
2024-04-18,4,3,SKU-017,17,Supplier-09,9,Warehouse-5,5,Route-14,Rail,1459,12,0.231,0,108,103.52,288.8,2.0183,0.0345,19,26,1.0,1,17,14,9,275,0.956,98.8,5,330,330,ProteinRich Kabuli Chana
2024-06-08,6,5,SKU-060,60,Supplier-09,9,Warehouse-6,6,Route-07,Rail,1711,14,0.201,0,79,189.71,111.7,2.6901,0.0632,16,18,1.089,0,16,14,32,256,0.969,98.8,5,224,224,PureFarm French Beans
2024-08-12,8,0,SKU-026,26,Supplier-11,11,Warehouse-6,6,Route-12,Truck,386,5,0.264,1,428,190.26,36.29,1.6275,0.0634,13,12,1.0,0,18,21,38,311,0.99,107.32,5,210,210,TastyDrop Coconut Oil
2024-05-06,5,0,SKU-058,58,Supplier-09,9,Warehouse-4,4,Route-04,Sea,927,31,0.291,1,150,77.28,151.99,1.3527,0.0258,15,14,1.0,0,14,14,26,236,0.976,98.8,5,339,324,GreenGarden Broccoli
2024-10-28,10,0,SKU-015,15,Supplier-02,2,Warehouse-3,3,Route-01,Air,90,1,0.165,0,85,25.11,5.08,0.0811,0.01,18,18,1.0,0,23,21,14,392,0.99,119.97,1,657,566,HealthyBite Masoor Dal
2024-01-04,1,3,SKU-036,36,Supplier-04,4,Warehouse-5,5,Route-08,Rail,1995,17,0.057,0,3,158.98,220.2,1.3446,0.053,11,11,1.0,0,8,10,9,119,0.87,130.45,5,233,181,SweetBite Marie Biscuits
2024-04-27,4,5,SKU-005,5,Supplier-12,12,Warehouse-6,6,Route-02,Rail,271,2,0.254,0,269,198.15,15.8,2.3051,0.066,17,17,1.0,0,22,21,29,386,0.99,100.36,1,227,227,GrainLand Idli Rice
2024-09-20,9,4,SKU-005,5,Supplier-01,1,Warehouse-3,3,Route-03,Truck,340,4,0.08,0,267,198.15,23.11,0.8287,0.066,17,16,1.0,0,6,5,12,97,0.663,92.21,1,218,156,GrainLand Idli Rice
2024-04-19,4,4,SKU-016,16,Supplier-05,5,Warehouse-6,6,Route-16,Rail,2178,18,0.245,0,82,181.0,403.41,0.4565,0.0603,16,19,1.0,0,9,5,18,98,0.694,52.16,10,166,139,GreenHarvest Rajma
2024-10-22,10,1,SKU-035,35,Supplier-03,3,Warehouse-6,6,Route-19,Truck,160,2,0.152,0,99,159.36,25.52,2.1538,0.0531,18,31,1.0,0,19,10,8,188,0.861,142.82,10,311,262,CrispyTreat Nacho Chips
2024-04-07,4,6,SKU-031,31,Supplier-04,4,Warehouse-4,4,Route-14,Truck,86,1,0.257,0,6,62.18,11.42,0.9396,0.0207,9,7,1.0,0,11,10,4,94,0.864,130.45,5,337,184,CrunchBite Butter Biscuits
2024-06-30,6,6,SKU-007,7,Supplier-02,2,Warehouse-6,6,Route-14,Truck,2252,28,0.377,0,149,77.54,301.44,0.3879,0.0258,8,10,1.161,1,17,21,22,190,0.99,119.97,1,273,255,PureHarvest Poha
2024-12-10,12,1,SKU-028,28,Supplier-07,7,Warehouse-4,4,Route-02,Rail,460,4,0.125,1,98,116.82,57.67,1.1052,0.0389,14,13,1.48,0,12,5,21,91,0.686,36.79,20,163,128,PureGold Buffalo Ghee
2024-07-25,7,3,SKU-042,42,Supplier-11,11,Warehouse-1,1,Route-02,Truck,1935,24,0.171,0,6,178.1,106.73,0.4268,0.0594,10,14,1.228,0,12,21,13,223,0.99,107.32,5,190,190,FreshDairy Paneer
2024-04-08,4,0,SKU-047,47,Supplier-06,6,Warehouse-1,1,Route-08,Truck,1546,19,0.08,0,6,125.55,221.92,1.8822,0.0419,13,15,1.0,0,21,5,7,72,0.549,78.57,5,221,117,NutriDairy Toned Milk
2024-08-04,8,6,SKU-013,13,Supplier-09,9,Warehouse-4,4,Route-05,Truck,681,9,0.287,0,129,151.42,76.62,0.5027,0.0505,15,17,1.0,0,23,14,9,219,0.954,98.8,5,242,242,FarmSelect Moong Dal
2024-02-08,2,3,SKU-012,12,Supplier-05,5,Warehouse-4,4,Route-08,Sea,2466,82,0.271,0,174,88.65,270.74,0.9571,0.0296,13,13,1.0,0,17,5,5,70,0.582,52.16,10,214,117,PureHarvest Toor Dal
2024-11-29,11,4,SKU-029,29,Supplier-09,9,Warehouse-1,1,Route-02,Rail,243,2,0.056,0,331,128.21,47.93,1.8154,0.0427,6,10,1.213,0,9,14,15,99,0.953,98.8,5,167,140,NutriOil Rice Bran Oil
2024-03-26,3,1,SKU-035,35,Supplier-01,1,Warehouse-1,1,Route-08,Sea,1430,48,0.336,0,129,159.36,204.2,1.3519,0.0531,18,17,1.0,0,19,5,24,114,0.684,92.21,1,250,170,CrispyTreat Nacho Chips
2024-07-24,7,2,SKU-027,27,Supplier-08,8,Warehouse-4,4,Route-07,Truck,2197,27,0.106,0,40,190.37,368.96,2.9476,0.0635,6,13,1.247,1,16,2,5,17,0.043,144.03,5,165,51,DesiTreat Cow Ghee
2024-01-02,1,1,SKU-058,58,Supplier-01,1,Warehouse-2,2,Route-13,Truck,818,10,0.112,1,96,77.28,55.2,0.7361,0.0258,15,9,1.0,0,12,5,3,78,0.594,92.21,1,327,164,GreenGarden Broccoli
2024-08-04,8,6,SKU-025,25,Supplier-05,5,Warehouse-4,4,Route-10,Truck,955,12,0.259,0,187,67.27,87.82,0.5034,0.0224,3,3,1.0,0,13,5,3,18,0.302,52.16,10,118,40,LiteChoice Olive Oil
2024-03-20,3,2,SKU-045,45,Supplier-12,12,Warehouse-5,5,Route-16,Truck,2034,25,0.134,0,175,32.88,171.06,0.6166,0.011,9,16,1.0,0,15,21,22,211,0.99,100.36,1,405,318,FarmFresh Lassi
2024-10-23,10,2,SKU-013,13,Supplier-05,5,Warehouse-2,2,Route-02,Truck,785,10,0.117,0,77,151.42,48.87,0.5021,0.0505,15,10,1.0,0,15,5,14,89,0.636,52.16,10,176,127,FarmSelect Moong Dal
2024-01-30,1,1,SKU-048,48,Supplier-09,9,Warehouse-1,1,Route-11,Rail,1422,12,0.36,0,5,24.72,273.2,0.3221,0.01,5,7,1.0,0,13,14,3,73,0.941,98.8,5,314,154,RichCream Whipping Cream
2024-09-28,9,5,SKU-004,4,Supplier-10,10,Warehouse-4,4,Route-17,Rail,2101,18,0.322,0,253,162.33,361.23,1.0099,0.0541,9,8,1.0,0,11,10,10,100,0.891,49.72,20,129,128,RoyalKitchen Sona Masoori Rice
2024-04-05,4,4,SKU-011,11,Supplier-01,1,Warehouse-5,5,Route-03,Truck,1470,18,0.296,0,135,172.39,44.27,0.4859,0.0575,16,12,1.0,0,11,5,13,93,0.668,92.21,1,227,150,NutriPulse Chana Dal
2024-07-25,7,3,SKU-005,5,Supplier-10,10,Warehouse-1,1,Route-08,Rail,349,3,0.094,0,259,198.15,79.16,2.8051,0.066,17,18,1.232,0,20,10,36,206,0.896,49.72,20,160,160,GrainLand Idli Rice
2024-10-31,10,3,SKU-008,8,Supplier-10,10,Warehouse-2,2,Route-19,Truck,207,3,0.165,1,210,156.4,31.3,0.3627,0.0521,6,2,1.0,0,15,10,5,65,0.822,49.72,20,107,82,SelectGrain Barley
2024-12-02,12,0,SKU-003,3,Supplier-10,10,Warehouse-1,1,Route-14,Truck,839,10,0.12,0,359,151.37,109.27,0.3243,0.0505,14,26,1.51,0,19,10,12,152,0.86,49.72,20,166,166,DailyGrain Wheat Flour
2024-05-13,5,0,SKU-038,38,Supplier-10,10,Warehouse-5,5,Route-11,Sea,250,8,0.505,0,4,101.41,51.79,1.6341,0.0338,8,9,1.0,0,16,10,10,90,0.89,49.72,20,153,120,ChocoLand Choco-Chip Cookies
2024-05-02,5,3,SKU-014,14,Supplier-11,11,Warehouse-6,6,Route-11,Truck,231,3,0.264,0,138,152.14,13.73,2.2009,0.0507,19,19,1.0,0,25,21,39,438,0.99,107.32,5,284,284,DailyFresh Urad Dal
2024-08-22,8,3,SKU-017,17,Supplier-07,7,Warehouse-2,2,Route-10,Truck,1388,17,0.164,0,43,103.52,262.64,1.1178,0.0345,19,18,1.0,0,18,5,27,122,0.68,36.79,20,201,164,ProteinRich Kabuli Chana
2024-11-14,11,3,SKU-021,21,Supplier-02,2,Warehouse-1,1,Route-15,Truck,2016,25,0.195,0,264,80.89,296.55,0.3476,0.027,12,20,1.596,0,14,21,33,285,0.99,119.97,1,327,327,PureDrop Sunflower Oil
2024-04-19,4,4,SKU-037,37,Supplier-02,2,Warehouse-1,1,Route-18,Truck,1914,24,0.268,0,291,22.79,62.91,0.1819,0.01,10,14,1.0,1,22,21,20,230,0.99,119.97,1,490,355,SnackMagic Masala Chips
2024-02-05,2,0,SKU-033,33,Supplier-05,5,Warehouse-2,2,Route-12,Truck,1270,16,0.224,1,7,136.14,180.84,1.7388,0.0454,9,9,1.0,0,25,5,6,51,0.458,52.16,10,144,69,ChocoMelt Cookies
2024-03-21,3,3,SKU-057,57,Supplier-04,4,Warehouse-3,3,Route-10,Truck,2487,31,0.216,0,105,77.98,107.98,0.2887,0.026,3,2,1.0,0,15,10,2,32,0.688,130.45,5,174,69,FreshChoice Cauliflower
2024-11-09,11,5,SKU-029,29,Supplier-09,9,Warehouse-6,6,Route-10,Truck,1322,17,0.166,0,207,128.21,229.77,1.137,0.0427,6,7,1.195,0,14,14,10,94,0.944,98.8,5,167,130,NutriOil Rice Bran Oil
2024-12-07,12,5,SKU-052,52,Supplier-11,11,Warehouse-5,5,Route-01,Rail,656,5,0.107,0,3,165.26,49.86,0.2033,0.0551,15,21,1.496,0,16,21,7,322,0.99,107.32,5,242,242,FarmFresh Tomatoes
2024-03-09,3,5,SKU-053,53,Supplier-09,9,Warehouse-3,3,Route-04,Sea,2112,70,0.445,1,39,142.72,230.34,2.1422,0.0476,18,18,1.0,0,13,14,24,276,0.99,98.8,5,273,273,NatureBasket Potatoes
2024-03-20,3,2,SKU-017,17,Supplier-02,2,Warehouse-1,1,Route-18,Truck,2388,30,0.08,0,142,103.52,414.38,0.6044,0.0345,19,19,1.0,0,19,21,53,452,0.99,119.97,1,364,364,ProteinRich Kabuli Chana
2024-06-24,6,0,SKU-018,18,Supplier-05,5,Warehouse-5,5,Route-07,Truck,383,5,0.204,0,158,166.16,65.35,0.4339,0.0554,3,5,1.321,0,13,5,3,18,0.296,52.16,10,75,27,FreshPulse Yellow Split Peas
2024-09-15,9,6,SKU-014,14,Supplier-11,11,Warehouse-6,6,Route-09,Truck,880,11,0.193,0,74,152.14,129.8,0.4366,0.0507,19,20,1.0,0,23,21,23,422,0.99,107.32,5,284,284,DailyFresh Urad Dal
2024-11-20,11,2,SKU-032,32,Supplier-05,5,Warehouse-1,1,Route-03,Air,312,1,0.083,0,141,69.09,64.08,0.1242,0.023,11,18,1.269,0,17,5,5,60,0.547,52.16,10,223,110,SnackoLite Potato Chips
2024-06-19,6,2,SKU-028,28,Supplier-05,5,Warehouse-1,1,Route-01,Air,2031,4,0.083,1,68,116.82,182.52,0.6154,0.0389,14,30,1.138,1,18,5,17,87,0.633,52.16,10,194,127,PureGold Buffalo Ghee
2024-03-23,3,5,SKU-050,50,Supplier-03,3,Warehouse-6,6,Route-09,Truck,2218,28,0.153,0,11,141.69,418.32,2.4206,0.0472,17,20,1.0,0,15,10,11,181,0.872,142.82,10,321,262,DesiMilk Ghee
2024-10-14,10,0,SKU-048,48,Supplier-08,8,Warehouse-5,5,Route-14,Truck,1943,24,0.067,0,14,24.72,55.2,0.465,0.01,5,4,1.0,0,12,2,4,14,0.082,144.03,5,380,116,RichCream Whipping Cream
2024-10-06,10,6,SKU-001,1,Supplier-02,2,Warehouse-1,1,Route-05,Truck,1834,23,0.232,1,183,60.0,267.09,0.7041,0.02,15,19,1.0,0,14,21,40,355,0.99,119.97,1,424,424,FreshHarvest Basmati Rice
2024-03-16,3,5,SKU-003,3,Supplier-06,6,Warehouse-5,5,Route-18,Air,33,1,0.357,0,223,151.37,12.98,1.3061,0.0505,14,27,1.0,0,20,5,11,81,0.615,78.57,5,209,124,DailyGrain Wheat Flour
2024-07-05,7,4,SKU-028,28,Supplier-03,3,Warehouse-1,1,Route-10,Truck,23,1,0.349,1,89,116.82,9.93,0.7951,0.0389,14,11,1.217,0,15,10,18,158,0.903,142.82,10,321,239,PureGold Buffalo Ghee
2024-12-15,12,6,SKU-058,58,Supplier-01,1,Warehouse-3,3,Route-07,Sea,1742,58,0.472,1,54,77.28,240.11,0.7835,0.0258,15,14,1.316,0,19,5,11,86,0.636,92.21,1,327,165,GreenGarden Broccoli
2024-10-13,10,6,SKU-016,16,Supplier-11,11,Warehouse-1,1,Route-12,Truck,681,9,0.494,0,157,181.0,118.88,1.3304,0.0603,16,26,1.0,0,19,21,41,377,0.99,107.32,5,239,239,GreenHarvest Rajma
2024-05-01,5,2,SKU-057,57,Supplier-07,7,Warehouse-5,5,Route-05,Rail,827,7,0.099,0,70,77.98,169.05,1.168,0.026,3,3,1.0,0,12,5,2,17,0.286,36.79,20,92,33,FreshChoice Cauliflower
2024-01-13,1,5,SKU-056,56,Supplier-03,3,Warehouse-2,2,Route-14,Sea,2101,70,0.142,0,72,197.39,178.39,1.5559,0.0658,21,35,1.0,0,25,10,22,232,0.874,142.82,10,302,298,ChillZone Frozen Peas
2024-12-08,12,6,SKU-012,12,Supplier-12,12,Warehouse-3,3,Route-14,Truck,2352,29,0.219,0,132,88.65,391.28,0.4021,0.0296,13,22,1.161,0,14,21,16,289,0.99,100.36,1,297,297,PureHarvest Toor Dal
2024-03-22,3,4,SKU-056,56,Supplier-12,12,Warehouse-2,2,Route-09,Truck,405,5,0.369,0,177,197.39,23.0,3.7851,0.0658,21,21,1.0,0,20,21,51,492,0.99,100.36,1,253,253,ChillZone Frozen Peas
2024-01-20,1,5,SKU-051,51,Supplier-12,12,Warehouse-1,1,Route-13,Truck,631,8,0.358,0,161,19.19,68.96,0.043,0.01,20,16,1.0,0,17,21,56,476,0.99,100.36,1,634,634,GreenLeaf Spinach
2024-08-23,8,4,SKU-055,55,Supplier-08,8,Warehouse-2,2,Route-07,Truck,1662,21,0.24,0,84,21.54,112.15,0.1929,0.01,10,2,1.0,0,13,2,2,22,0.187,144.03,5,537,170,FreshPick Onions
2024-01-13,1,5,SKU-023,23,Supplier-05,5,Warehouse-2,2,Route-08,Rail,1417,12,0.236,0,362,181.55,75.99,0.5751,0.0605,12,18,1.0,1,13,5,6,66,0.607,52.16,10,144,96,NaturalPress Mustard Oil
2024-05-22,5,2,SKU-043,43,Supplier-04,4,Warehouse-4,4,Route-11,Truck,1809,23,0.293,1,12,73.43,197.68,0.7128,0.0245,14,15,1.0,0,17,10,26,166,0.908,130.45,5,386,265,CreamLand Cheese
2024-11-24,11,6,SKU-056,56,Supplier-02,2,Warehouse-3,3,Route-12,Truck,1630,20,0.103,0,67,197.39,57.71,1.9197,0.0658,21,46,1.576,0,23,21,31,472,0.99,119.97,1,277,277,ChillZone Frozen Peas
2024-06-18,6,1,SKU-033,33,Supplier-07,7,Warehouse-6,6,Route-18,Air,2195,4,0.096,1,5,136.14,355.73,2.684,0.0454,9,8,1.11,0,18,5,5,50,0.515,36.79,20,121,68,ChocoMelt Cookies
2024-10-24,10,3,SKU-002,2,Supplier-02,2,Warehouse-3,3,Route-06,Truck,1249,16,0.265,0,303,39.6,243.79,0.6232,0.0132,11,13,1.0,0,15,21,20,251,0.99,119.97,1,447,370,GoldenField Brown Rice
2024-08-10,8,5,SKU-017,17,Supplier-01,1,Warehouse-1,1,Route-20,Truck,995,12,0.165,0,134,103.52,81.81,1.6638,0.0345,19,25,1.0,0,20,5,24,119,0.662,92.21,1,319,195,ProteinRich Kabuli Chana
2024-11-06,11,2,SKU-023,23,Supplier-12,12,Warehouse-3,3,Route-14,Air,1639,3,0.226,0,261,181.55,278.94,3.2254,0.0605,12,19,1.558,0,12,21,33,285,0.99,100.36,1,200,200,NaturalPress Mustard Oil
2024-04-07,4,6,SKU-033,33,Supplier-02,2,Warehouse-4,4,Route-19,Truck,2206,28,0.123,1,7,136.14,82.46,2.4389,0.0454,9,14,1.0,1,16,21,8,197,0.99,119.97,1,218,218,ChocoMelt Cookies
2024-01-01,1,0,SKU-017,17,Supplier-01,1,Warehouse-6,6,Route-14,Rail,1183,10,0.11,0,107,103.52,100.22,1.7326,0.0345,19,36,1.0,0,20,5,12,107,0.609,92.21,1,319,183,ProteinRich Kabuli Chana
2024-07-05,7,4,SKU-034,34,Supplier-09,9,Warehouse-6,6,Route-07,Truck,1874,23,0.228,0,163,151.71,375.34,1.5102,0.0506,12,14,1.264,0,11,14,16,184,0.966,98.8,5,216,216,SaltZest Crackers
2024-11-15,11,4,SKU-028,28,Supplier-02,2,Warehouse-6,6,Route-11,Rail,445,4,0.115,1,127,116.82,70.34,1.5437,0.0389,14,23,1.207,0,15,21,8,302,0.99,119.97,1,294,294,PureGold Buffalo Ghee
